TOP.5e2d3950.00090d69	START
TOP.5e2d3af6.0007bbc2	user_options->benchmark	0
TOP.5e2d3af6.0007bbc2	user_options->benchmark_all	0
TOP.5e2d3af6.0007bbc2	user_options->bitmap_max	18
TOP.5e2d3af6.0007bbc2	user_options->bitmap_min	16
TOP.5e2d3af6.0007bbc2	user_options->debug_mode	0
TOP.5e2d3af6.0007bbc2	user_options->example_hashes	0
TOP.5e2d3af6.0007bbc2	user_options->force	1
TOP.5e2d3af6.0007bbc2	user_options->hwmon_disable	0
TOP.5e2d3af6.0007bbc2	user_options->hwmon_temp_abort	90
TOP.5e2d3af6.0007bbc2	user_options->hash_mode	3000
TOP.5e2d3af6.0007bbc2	user_options->hex_charset	0
TOP.5e2d3af6.0007bbc2	user_options->hex_salt	0
TOP.5e2d3af6.0007bbc2	user_options->hex_wordlist	0
TOP.5e2d3af6.0007bbc2	user_options->increment	0
TOP.5e2d3af6.0007bbc2	user_options->increment_max	256
TOP.5e2d3af6.0007bbc2	user_options->increment_min	1
TOP.5e2d3af6.0007bbc2	user_options->keep_guessing	0
TOP.5e2d3af6.0007bbc2	user_options->kernel_accel	0
TOP.5e2d3af6.0007bbc2	user_options->kernel_loops	0
TOP.5e2d3af6.0007bbc2	user_options->kernel_threads	0
TOP.5e2d3af6.0007bbc2	user_options->keyspace	0
TOP.5e2d3af6.0007bbc2	user_options->left	0
TOP.5e2d3af6.0007bbc2	user_options->logfile_disable	0
TOP.5e2d3af6.0007bbc2	user_options->loopback	0
TOP.5e2d3af6.0007bbc2	user_options->machine_readable	0
TOP.5e2d3af6.0007bbc2	user_options->markov_classic	0
TOP.5e2d3af6.0007bbc2	user_options->markov_disable	0
TOP.5e2d3af6.0007bbc2	user_options->markov_threshold	256
TOP.5e2d3af6.0007bbc2	user_options->opencl_info	0
TOP.5e2d3af6.0007bbc2	user_options->opencl_vector_width	0
TOP.5e2d3af6.0007bbc2	user_options->optimized_kernel_enable	0
TOP.5e2d3af6.0007bbc2	user_options->outfile_autohex	1
TOP.5e2d3af6.0007bbc2	user_options->outfile_check_timer	5
TOP.5e2d3af6.0007bbc2	user_options->outfile_format	1
TOP.5e2d3af6.0007bbc2	user_options->wordlist_autohex_disable	0
TOP.5e2d3af6.0007bbc2	user_options->potfile_disable	1
TOP.5e2d3af6.0007bbc2	user_options->progress_only	0
TOP.5e2d3af6.0007bbc2	user_options->quiet	0
TOP.5e2d3af6.0007bbc2	user_options->remove	0
TOP.5e2d3af6.0007bbc2	user_options->remove_timer	60
TOP.5e2d3af6.0007bbc2	user_options->restore	0
TOP.5e2d3af6.0007bbc2	user_options->restore_disable	0
TOP.5e2d3af6.0007bbc2	user_options->restore_timer	60
TOP.5e2d3af6.0007bbc2	user_options->rp_files_cnt	0
TOP.5e2d3af6.0007bbc2	user_options->rp_gen	1000
TOP.5e2d3af6.0007bbc2	user_options->rp_gen_func_max	4
TOP.5e2d3af6.0007bbc2	user_options->rp_gen_func_min	1
TOP.5e2d3af6.0007bbc2	user_options->rp_gen_seed	0
TOP.5e2d3af6.0007bbc2	user_options->runtime	0
TOP.5e2d3af6.0007bbc2	user_options->scrypt_tmto	0
TOP.5e2d3af6.0007bbc2	user_options->segment_size	33554432
TOP.5e2d3af6.0007bbc2	user_options->self_test_disable	1
TOP.5e2d3af6.0007bbc2	user_options->slow_candidates	0
TOP.5e2d3af6.0007bbc2	user_options->show	0
TOP.5e2d3af6.0007bbc2	user_options->speed_only	0
TOP.5e2d3af6.0007bbc2	user_options->spin_damp	8
TOP.5e2d3af6.0007bbc2	user_options->status	1
TOP.5e2d3af6.0007bbc2	user_options->status_timer	60
TOP.5e2d3af6.0007bbc2	user_options->stdout_flag	0
TOP.5e2d3af6.0007bbc2	user_options->usage	0
TOP.5e2d3af6.0007bbc2	user_options->username	0
TOP.5e2d3af6.0007bbc2	user_options->veracrypt_pim	0
TOP.5e2d3af6.0007bbc2	user_options->version	0
TOP.5e2d3af6.0007bbc2	user_options->workload_profile	2
TOP.5e2d3af6.0007bbc2	user_options->brain_client	0
TOP.5e2d3af6.0007bbc2	user_options->brain_client_features	2
TOP.5e2d3af6.0007bbc2	user_options->brain_server	0
TOP.5e2d3af6.0007bbc2	user_options->brain_port	6863
TOP.5e2d3af6.0007bbc2	user_options->brain_session	0
TOP.5e2d3af6.0007bbc2	hashes->hashfile	C:\Users\John\Downloads\Portables\Hashcat\hashes\hash.txt
TOP.5e2d3af6.0007bbc2	hashes->hashlist_mode	4
TOP.5e2d3af6.0007bbc2	hashes->hashlist_format	0
TOP.5e2d3af6.0007bbc2	hashes->hashes_cnt	0
TOP.5e2d3af6.0007bbc2	hashes->digests_cnt	2
TOP.5e2d3af6.0007bbc2	hashes->digests_done	0
TOP.5e2d3af6.0007bbc2	hashes->salts_cnt	1
TOP.5e2d3af6.0007bbc2	hashes->salts_done	0
TOP.5e2d3af6.0007bbc2	SUB.5e2d3af7.00001abb	START
TOP.5e2d3af6.0007bbc2	SUB.5e2d3af7.00001abb	straight_ctx->dict	C:\Users\John\Desktop\SkullSecurityComp
TOP.5e2d3af6.0007bbc2	SUB.5e2d3af7.00001abb	runtime_start	1580022520
TOP.5e2d3af6.0007bbc2	SUB.5e2d3af7.00001abb	runtime_stop	1580022521
TOP.5e2d3af6.0007bbc2	SUB.5e2d3af7.00001abb	status-after-work	13
TOP.5e2d3af6.0007bbc2	SUB.5e2d3af7.00001abb	STOP
TOP.5e2d3af6.0007bbc2	proc_start	1580022518
TOP.5e2d3af6.0007bbc2	proc_stop	1580022522
TOP.5e2d3af6.0007bbc2	STOP
TOP.5e2d3b78.0000d56d	START
TOP.5e2d3b78.0000d56d	user_options->separator	:
TOP.5e2d3b78.0000d56d	user_options->encoding_from	utf-8
TOP.5e2d3b78.0000d56d	user_options->encoding_to	utf-8
TOP.5e2d3b78.0000d56d	user_options->opencl_device_types	1
TOP.5e2d3b78.0000d56d	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5e2d3b78.0000d56d	user_options->rule_buf_l	:
TOP.5e2d3b78.0000d56d	user_options->rule_buf_r	:
TOP.5e2d3b78.0000d56d	user_options->session	2020-01-26
TOP.5e2d3b78.0000d56d	user_options->limit	0
TOP.5e2d3b78.0000d56d	user_options->skip	0
TOP.5e2d3b78.0000d56d	user_options->attack_mode	0
TOP.5e2d3b78.0000d56d	user_options->benchmark	0
TOP.5e2d3b78.0000d56d	user_options->benchmark_all	0
TOP.5e2d3b78.0000d56d	user_options->bitmap_max	18
TOP.5e2d3b78.0000d56d	user_options->bitmap_min	16
TOP.5e2d3b78.0000d56d	user_options->debug_mode	0
TOP.5e2d3b78.0000d56d	user_options->example_hashes	0
TOP.5e2d3b78.0000d56d	user_options->force	1
TOP.5e2d3b78.0000d56d	user_options->hwmon_disable	0
TOP.5e2d3b78.0000d56d	user_options->hwmon_temp_abort	90
TOP.5e2d3b78.0000d56d	user_options->hash_mode	3000
TOP.5e2d3b78.0000d56d	user_options->hex_charset	0
TOP.5e2d3b78.0000d56d	user_options->hex_salt	0
TOP.5e2d3b78.0000d56d	user_options->hex_wordlist	0
TOP.5e2d3b78.0000d56d	user_options->increment	0
TOP.5e2d3b78.0000d56d	user_options->increment_max	256
TOP.5e2d3b78.0000d56d	user_options->increment_min	1
TOP.5e2d3b78.0000d56d	user_options->keep_guessing	0
TOP.5e2d3b78.0000d56d	user_options->kernel_accel	0
TOP.5e2d3b78.0000d56d	user_options->kernel_loops	0
TOP.5e2d3b78.0000d56d	user_options->kernel_threads	0
TOP.5e2d3b78.0000d56d	user_options->keyspace	0
TOP.5e2d3b78.0000d56d	user_options->left	0
TOP.5e2d3b78.0000d56d	user_options->logfile_disable	0
TOP.5e2d3b78.0000d56d	user_options->loopback	0
TOP.5e2d3b78.0000d56d	user_options->machine_readable	0
TOP.5e2d3b78.0000d56d	user_options->markov_classic	0
TOP.5e2d3b78.0000d56d	user_options->markov_disable	0
TOP.5e2d3b78.0000d56d	user_options->markov_threshold	256
TOP.5e2d3b78.0000d56d	user_options->opencl_info	0
TOP.5e2d3b78.0000d56d	user_options->opencl_vector_width	0
TOP.5e2d3b78.0000d56d	user_options->optimized_kernel_enable	0
TOP.5e2d3b78.0000d56d	user_options->outfile_autohex	1
TOP.5e2d3b78.0000d56d	user_options->outfile_check_timer	5
TOP.5e2d3b78.0000d56d	user_options->outfile_format	1
TOP.5e2d3b78.0000d56d	user_options->wordlist_autohex_disable	0
TOP.5e2d3b78.0000d56d	user_options->potfile_disable	1
TOP.5e2d3b78.0000d56d	user_options->progress_only	0
TOP.5e2d3b78.0000d56d	user_options->quiet	0
TOP.5e2d3b78.0000d56d	user_options->remove	0
TOP.5e2d3b78.0000d56d	user_options->remove_timer	60
TOP.5e2d3b78.0000d56d	user_options->restore	0
TOP.5e2d3b78.0000d56d	user_options->restore_disable	0
TOP.5e2d3b78.0000d56d	user_options->restore_timer	60
TOP.5e2d3b78.0000d56d	user_options->rp_files_cnt	0
TOP.5e2d3b78.0000d56d	user_options->rp_gen	1000
TOP.5e2d3b78.0000d56d	user_options->rp_gen_func_max	4
TOP.5e2d3b78.0000d56d	user_options->rp_gen_func_min	1
TOP.5e2d3b78.0000d56d	user_options->rp_gen_seed	0
TOP.5e2d3b78.0000d56d	user_options->runtime	0
TOP.5e2d3b78.0000d56d	user_options->scrypt_tmto	0
TOP.5e2d3b78.0000d56d	user_options->segment_size	33554432
TOP.5e2d3b78.0000d56d	user_options->self_test_disable	1
TOP.5e2d3b78.0000d56d	user_options->slow_candidates	0
TOP.5e2d3b78.0000d56d	user_options->show	0
TOP.5e2d3b78.0000d56d	user_options->speed_only	0
TOP.5e2d3b78.0000d56d	user_options->spin_damp	8
TOP.5e2d3b78.0000d56d	user_options->status	1
TOP.5e2d3b78.0000d56d	user_options->status_timer	60
TOP.5e2d3b78.0000d56d	user_options->stdout_flag	0
TOP.5e2d3b78.0000d56d	user_options->usage	0
TOP.5e2d3b78.0000d56d	user_options->username	0
TOP.5e2d3b78.0000d56d	user_options->veracrypt_pim	0
TOP.5e2d3b78.0000d56d	user_options->version	0
TOP.5e2d3b78.0000d56d	user_options->workload_profile	2
TOP.5e2d3b78.0000d56d	user_options->brain_client	0
TOP.5e2d3b78.0000d56d	user_options->brain_client_features	2
TOP.5e2d3b78.0000d56d	user_options->brain_server	0
TOP.5e2d3b78.0000d56d	user_options->brain_port	6863
TOP.5e2d3b78.0000d56d	user_options->brain_session	0
TOP.5e2d3b78.0000d56d	hashes->hashfile	C:\Users\John\Downloads\Portables\Hashcat\hashes\hash.txt
TOP.5e2d3b78.0000d56d	hashes->hashlist_mode	4
TOP.5e2d3b78.0000d56d	hashes->hashlist_format	0
TOP.5e2d3b78.0000d56d	hashes->hashes_cnt	0
TOP.5e2d3b78.0000d56d	hashes->digests_cnt	2
TOP.5e2d3b78.0000d56d	hashes->digests_done	0
TOP.5e2d3b78.0000d56d	hashes->salts_cnt	1
TOP.5e2d3b78.0000d56d	hashes->salts_done	0
TOP.5e2d3b78.0000d56d	SUB.5e2d3b78.0008f0bb	START
TOP.5e2d3b78.0000d56d	SUB.5e2d3b78.0008f0bb	straight_ctx->dict	C:\Users\John\Desktop\SkullSecurityComp
TOP.5e2d3b78.0000d56d	SUB.5e2d3b78.0008f0bb	runtime_start	1580022650
TOP.5e2d3b78.0000d56d	SUB.5e2d3b78.0008f0bb	runtime_stop	1580022650
TOP.5e2d3b78.0000d56d	SUB.5e2d3b78.0008f0bb	status-after-work	13
TOP.5e2d3b78.0000d56d	SUB.5e2d3b78.0008f0bb	STOP
TOP.5e2d3b78.0000d56d	proc_start	1580022648
TOP.5e2d3b78.0000d56d	proc_stop	1580022651
TOP.5e2d3b78.0000d56d	STOP
TOP.5e2d3b9c.000891d2	START
TOP.5e2d3b9c.000891d2	user_options->separator	:
TOP.5e2d3b9c.000891d2	user_options->encoding_from	utf-8
TOP.5e2d3b9c.000891d2	user_options->encoding_to	utf-8
TOP.5e2d3b9c.000891d2	user_options->opencl_device_types	1
TOP.5e2d3b9c.000891d2	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5e2d3b9c.000891d2	user_options->rule_buf_l	:
TOP.5e2d3b9c.000891d2	user_options->rule_buf_r	:
TOP.5e2d3b9c.000891d2	user_options->session	2020-01-26
TOP.5e2d3b9c.000891d2	user_options->limit	0
TOP.5e2d3b9c.000891d2	user_options->skip	0
TOP.5e2d3b9c.000891d2	user_options->attack_mode	0
TOP.5e2d3b9c.000891d2	user_options->benchmark	0
TOP.5e2d3b9c.000891d2	user_options->benchmark_all	0
TOP.5e2d3b9c.000891d2	user_options->bitmap_max	18
TOP.5e2d3b9c.000891d2	user_options->bitmap_min	16
TOP.5e2d3b9c.000891d2	user_options->debug_mode	0
TOP.5e2d3b9c.000891d2	user_options->example_hashes	0
TOP.5e2d3b9c.000891d2	user_options->force	1
TOP.5e2d3b9c.000891d2	user_options->hwmon_disable	0
TOP.5e2d3b9c.000891d2	user_options->hwmon_temp_abort	90
TOP.5e2d3b9c.000891d2	user_options->hash_mode	3000
TOP.5e2d3b9c.000891d2	user_options->hex_charset	0
TOP.5e2d3b9c.000891d2	user_options->hex_salt	0
TOP.5e2d3b9c.000891d2	user_options->hex_wordlist	0
TOP.5e2d3b9c.000891d2	user_options->increment	0
TOP.5e2d3b9c.000891d2	user_options->increment_max	256
TOP.5e2d3b9c.000891d2	user_options->increment_min	1
TOP.5e2d3b9c.000891d2	user_options->keep_guessing	0
TOP.5e2d3b9c.000891d2	user_options->kernel_accel	0
TOP.5e2d3b9c.000891d2	user_options->kernel_loops	0
TOP.5e2d3b9c.000891d2	user_options->kernel_threads	0
TOP.5e2d3b9c.000891d2	user_options->keyspace	0
TOP.5e2d3b9c.000891d2	user_options->left	0
TOP.5e2d3b9c.000891d2	user_options->logfile_disable	0
TOP.5e2d3b9c.000891d2	user_options->loopback	0
TOP.5e2d3b9c.000891d2	user_options->machine_readable	0
TOP.5e2d3b9c.000891d2	user_options->markov_classic	0
TOP.5e2d3b9c.000891d2	user_options->markov_disable	0
TOP.5e2d3b9c.000891d2	user_options->markov_threshold	256
TOP.5e2d3b9c.000891d2	user_options->opencl_info	0
TOP.5e2d3b9c.000891d2	user_options->opencl_vector_width	0
TOP.5e2d3b9c.000891d2	user_options->optimized_kernel_enable	0
TOP.5e2d3b9c.000891d2	user_options->outfile_autohex	1
TOP.5e2d3b9c.000891d2	user_options->outfile_check_timer	5
TOP.5e2d3b9c.000891d2	user_options->outfile_format	1
TOP.5e2d3b9c.000891d2	user_options->wordlist_autohex_disable	0
TOP.5e2d3b9c.000891d2	user_options->potfile_disable	1
TOP.5e2d3b9c.000891d2	user_options->progress_only	0
TOP.5e2d3b9c.000891d2	user_options->quiet	0
TOP.5e2d3b9c.000891d2	user_options->remove	0
TOP.5e2d3b9c.000891d2	user_options->remove_timer	60
TOP.5e2d3b9c.000891d2	user_options->restore	0
TOP.5e2d3b9c.000891d2	user_options->restore_disable	0
TOP.5e2d3b9c.000891d2	user_options->restore_timer	60
TOP.5e2d3b9c.000891d2	user_options->rp_files_cnt	0
TOP.5e2d3b9c.000891d2	user_options->rp_gen	1000
TOP.5e2d3b9c.000891d2	user_options->rp_gen_func_max	4
TOP.5e2d3b9c.000891d2	user_options->rp_gen_func_min	1
TOP.5e2d3b9c.000891d2	user_options->rp_gen_seed	0
TOP.5e2d3b9c.000891d2	user_options->runtime	0
TOP.5e2d3b9c.000891d2	user_options->scrypt_tmto	0
TOP.5e2d3b9c.000891d2	user_options->segment_size	33554432
TOP.5e2d3b9c.000891d2	user_options->self_test_disable	1
TOP.5e2d3b9c.000891d2	user_options->slow_candidates	0
TOP.5e2d3b9c.000891d2	user_options->show	0
TOP.5e2d3b9c.000891d2	user_options->speed_only	0
TOP.5e2d3b9c.000891d2	user_options->spin_damp	8
TOP.5e2d3b9c.000891d2	user_options->status	1
TOP.5e2d3b9c.000891d2	user_options->status_timer	60
TOP.5e2d3b9c.000891d2	user_options->stdout_flag	0
TOP.5e2d3b9c.000891d2	user_options->usage	0
TOP.5e2d3b9c.000891d2	user_options->username	0
TOP.5e2d3b9c.000891d2	user_options->veracrypt_pim	0
TOP.5e2d3b9c.000891d2	user_options->version	0
TOP.5e2d3b9c.000891d2	user_options->workload_profile	2
TOP.5e2d3b9c.000891d2	user_options->brain_client	0
TOP.5e2d3b9c.000891d2	user_options->brain_client_features	2
TOP.5e2d3b9c.000891d2	user_options->brain_server	0
TOP.5e2d3b9c.000891d2	user_options->brain_port	6863
TOP.5e2d3b9c.000891d2	user_options->brain_session	0
TOP.5e2d3b9c.000891d2	hashes->hashfile	C:\Users\John\Downloads\Portables\Hashcat\hashes\hash.txt
TOP.5e2d3b9c.000891d2	hashes->hashlist_mode	4
TOP.5e2d3b9c.000891d2	hashes->hashlist_format	0
TOP.5e2d3b9c.000891d2	hashes->hashes_cnt	0
TOP.5e2d3b9c.000891d2	hashes->digests_cnt	2
TOP.5e2d3b9c.000891d2	hashes->digests_done	0
TOP.5e2d3b9c.000891d2	hashes->salts_cnt	1
TOP.5e2d3b9c.000891d2	hashes->salts_done	0
TOP.5e2d3b9c.000891d2	SUB.5e2d3b9d.00012dd4	START
TOP.5e2d3b9c.000891d2	SUB.5e2d3b9d.00012dd4	straight_ctx->dict	C:\Users\John\Desktop\SkullSecurityComp
TOP.5e2d3b9c.000891d2	SUB.5e2d3b9d.00012dd4	runtime_start	1580022686
TOP.5e2d3b9c.000891d2	SUB.5e2d3b9d.00012dd4	runtime_stop	1580022686
TOP.5e2d3b9c.000891d2	SUB.5e2d3b9d.00012dd4	status-after-work	13
TOP.5e2d3b9c.000891d2	SUB.5e2d3b9d.00012dd4	STOP
TOP.5e2d3b9c.000891d2	proc_start	1580022684
TOP.5e2d3b9c.000891d2	proc_stop	1580022687
TOP.5e2d3b9c.000891d2	STOP
TOP.5e2d3bc6.000d6def	START
TOP.5e2d3bc6.000d6def	user_options->separator	:
TOP.5e2d3bc6.000d6def	user_options->encoding_from	utf-8
TOP.5e2d3bc6.000d6def	user_options->encoding_to	utf-8
TOP.5e2d3bc6.000d6def	user_options->opencl_device_types	1
TOP.5e2d3bc6.000d6def	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5e2d3bc6.000d6def	user_options->rule_buf_l	:
TOP.5e2d3bc6.000d6def	user_options->rule_buf_r	:
TOP.5e2d3bc6.000d6def	user_options->session	2020-01-26
TOP.5e2d3bc6.000d6def	user_options->limit	0
TOP.5e2d3bc6.000d6def	user_options->skip	0
TOP.5e2d3bc6.000d6def	user_options->attack_mode	0
TOP.5e2d3bc6.000d6def	user_options->benchmark	0
TOP.5e2d3bc6.000d6def	user_options->benchmark_all	0
TOP.5e2d3bc6.000d6def	user_options->bitmap_max	18
TOP.5e2d3bc6.000d6def	user_options->bitmap_min	16
TOP.5e2d3bc6.000d6def	user_options->debug_mode	0
TOP.5e2d3bc6.000d6def	user_options->example_hashes	0
TOP.5e2d3bc6.000d6def	user_options->force	1
TOP.5e2d3bc6.000d6def	user_options->hwmon_disable	0
TOP.5e2d3bc6.000d6def	user_options->hwmon_temp_abort	90
TOP.5e2d3bc6.000d6def	user_options->hash_mode	1000
TOP.5e2d3bc6.000d6def	user_options->hex_charset	0
TOP.5e2d3bc6.000d6def	user_options->hex_salt	0
TOP.5e2d3bc6.000d6def	user_options->hex_wordlist	0
TOP.5e2d3bc6.000d6def	user_options->increment	0
TOP.5e2d3bc6.000d6def	user_options->increment_max	256
TOP.5e2d3bc6.000d6def	user_options->increment_min	1
TOP.5e2d3bc6.000d6def	user_options->keep_guessing	0
TOP.5e2d3bc6.000d6def	user_options->kernel_accel	0
TOP.5e2d3bc6.000d6def	user_options->kernel_loops	0
TOP.5e2d3bc6.000d6def	user_options->kernel_threads	0
TOP.5e2d3bc6.000d6def	user_options->keyspace	0
TOP.5e2d3bc6.000d6def	user_options->left	0
TOP.5e2d3bc6.000d6def	user_options->logfile_disable	0
TOP.5e2d3bc6.000d6def	user_options->loopback	0
TOP.5e2d3bc6.000d6def	user_options->machine_readable	0
TOP.5e2d3bc6.000d6def	user_options->markov_classic	0
TOP.5e2d3bc6.000d6def	user_options->markov_disable	0
TOP.5e2d3bc6.000d6def	user_options->markov_threshold	256
TOP.5e2d3bc6.000d6def	user_options->opencl_info	0
TOP.5e2d3bc6.000d6def	user_options->opencl_vector_width	0
TOP.5e2d3bc6.000d6def	user_options->optimized_kernel_enable	0
TOP.5e2d3bc6.000d6def	user_options->outfile_autohex	1
TOP.5e2d3bc6.000d6def	user_options->outfile_check_timer	5
TOP.5e2d3bc6.000d6def	user_options->outfile_format	1
TOP.5e2d3bc6.000d6def	user_options->wordlist_autohex_disable	0
TOP.5e2d3bc6.000d6def	user_options->potfile_disable	1
TOP.5e2d3bc6.000d6def	user_options->progress_only	0
TOP.5e2d3bc6.000d6def	user_options->quiet	0
TOP.5e2d3bc6.000d6def	user_options->remove	0
TOP.5e2d3bc6.000d6def	user_options->remove_timer	60
TOP.5e2d3bc6.000d6def	user_options->restore	0
TOP.5e2d3bc6.000d6def	user_options->restore_disable	0
TOP.5e2d3bc6.000d6def	user_options->restore_timer	60
TOP.5e2d3bc6.000d6def	user_options->rp_files_cnt	0
TOP.5e2d3bc6.000d6def	user_options->rp_gen	1000
TOP.5e2d3bc6.000d6def	user_options->rp_gen_func_max	4
TOP.5e2d3bc6.000d6def	user_options->rp_gen_func_min	1
TOP.5e2d3bc6.000d6def	user_options->rp_gen_seed	0
TOP.5e2d3bc6.000d6def	user_options->runtime	0
TOP.5e2d3bc6.000d6def	user_options->scrypt_tmto	0
TOP.5e2d3bc6.000d6def	user_options->segment_size	33554432
TOP.5e2d3bc6.000d6def	user_options->self_test_disable	1
TOP.5e2d3bc6.000d6def	user_options->slow_candidates	0
TOP.5e2d3bc6.000d6def	user_options->show	0
TOP.5e2d3bc6.000d6def	user_options->speed_only	0
TOP.5e2d3bc6.000d6def	user_options->spin_damp	8
TOP.5e2d3bc6.000d6def	user_options->status	1
TOP.5e2d3bc6.000d6def	user_options->status_timer	60
TOP.5e2d3bc6.000d6def	user_options->stdout_flag	0
TOP.5e2d3bc6.000d6def	user_options->usage	0
TOP.5e2d3bc6.000d6def	user_options->username	0
TOP.5e2d3bc6.000d6def	user_options->veracrypt_pim	0
TOP.5e2d3bc6.000d6def	user_options->version	0
TOP.5e2d3bc6.000d6def	user_options->workload_profile	2
TOP.5e2d3bc6.000d6def	user_options->brain_client	0
TOP.5e2d3bc6.000d6def	user_options->brain_client_features	2
TOP.5e2d3bc6.000d6def	user_options->brain_server	0
TOP.5e2d3bc6.000d6def	user_options->brain_port	6863
TOP.5e2d3bc6.000d6def	user_options->brain_session	0
TOP.5e2d3bc6.000d6def	hashes->hashfile	C:\Users\John\Downloads\Portables\Hashcat\hashes\hash.txt
TOP.5e2d3bc6.000d6def	hashes->hashlist_mode	4
TOP.5e2d3bc6.000d6def	hashes->hashlist_format	0
TOP.5e2d3bc6.000d6def	hashes->hashes_cnt	0
TOP.5e2d3bc6.000d6def	hashes->digests_cnt	1
TOP.5e2d3bc6.000d6def	hashes->digests_done	0
TOP.5e2d3bc6.000d6def	hashes->salts_cnt	1
TOP.5e2d3bc6.000d6def	hashes->salts_done	0
TOP.5e2d3bc6.000d6def	SUB.5e2d3bc8.0001826e	START
TOP.5e2d3bc6.000d6def	SUB.5e2d3bc8.0001826e	straight_ctx->dict	C:\Users\John\Desktop\SkullSecurityComp
TOP.5e2d3bc6.000d6def	SUB.5e2d3bc8.0001826e	runtime_start	1580022728
TOP.5e2d3bc6.000d6def	SUB.5e2d3bc8.0001826e	runtime_stop	1580022728
TOP.5e2d3bc6.000d6def	SUB.5e2d3bc8.0001826e	status-after-work	13
TOP.5e2d3bc6.000d6def	SUB.5e2d3bc8.0001826e	STOP
TOP.5e2d3bc6.000d6def	proc_start	1580022726
TOP.5e2d3bc6.000d6def	proc_stop	1580022729
TOP.5e2d3bc6.000d6def	STOP
TOP.5e2d3e42.000b00f5	START
TOP.5e2d3e42.000b00f5	user_options->separator	:
TOP.5e2d3e42.000b00f5	user_options->encoding_from	utf-8
TOP.5e2d3e42.000b00f5	user_options->encoding_to	utf-8
TOP.5e2d3e42.000b00f5	user_options->opencl_device_types	1
TOP.5e2d3e42.000b00f5	user_options->outfile	C:\Users\John\Downloads\portables\Hashcat\output\output.txt
TOP.5e2d3e42.000b00f5	user_options->rule_buf_l	:
TOP.5e2d3e42.000b00f5	user_options->rule_buf_r	:
TOP.5e2d3e42.000b00f5	user_options->session	2020-01-26
TOP.5e2d3e42.000b00f5	user_options->limit	0
TOP.5e2d3e42.000b00f5	user_options->skip	0
TOP.5e2d3e42.000b00f5	user_options->attack_mode	0
TOP.5e2d3e42.000b00f5	user_options->benchmark	0
TOP.5e2d3e42.000b00f5	user_options->benchmark_all	0
TOP.5e2d3e42.000b00f5	user_options->bitmap_max	18
TOP.5e2d3e42.000b00f5	user_options->bitmap_min	16
TOP.5e2d3e42.000b00f5	user_options->debug_mode	0
TOP.5e2d3e42.000b00f5	user_options->example_hashes	0
TOP.5e2d3e42.000b00f5	user_options->force	1
TOP.5e2d3e42.000b00f5	user_options->hwmon_disable	0
TOP.5e2d3e42.000b00f5	user_options->hwmon_temp_abort	90
TOP.5e2d3e42.000b00f5	user_options->hash_mode	1000
TOP.5e2d3e42.000b00f5	user_options->hex_charset	0
TOP.5e2d3e42.000b00f5	user_options->hex_salt	0
TOP.5e2d3e42.000b00f5	user_options->hex_wordlist	0
TOP.5e2d3e42.000b00f5	user_options->increment	0
TOP.5e2d3e42.000b00f5	user_options->increment_max	256
TOP.5e2d3e42.000b00f5	user_options->increment_min	1
TOP.5e2d3e42.000b00f5	user_options->keep_guessing	0
TOP.5e2d3e42.000b00f5	user_options->kernel_accel	0
TOP.5e2d3e42.000b00f5	user_options->kernel_loops	0
TOP.5e2d3e42.000b00f5	user_options->kernel_threads	0
TOP.5e2d3e42.000b00f5	user_options->keyspace	0
TOP.5e2d3e42.000b00f5	user_options->left	0
TOP.5e2d3e42.000b00f5	user_options->logfile_disable	0
TOP.5e2d3e42.000b00f5	user_options->loopback	0
TOP.5e2d3e42.000b00f5	user_options->machine_readable	0
TOP.5e2d3e42.000b00f5	user_options->markov_classic	0
TOP.5e2d3e42.000b00f5	user_options->markov_disable	0
TOP.5e2d3e42.000b00f5	user_options->markov_threshold	256
TOP.5e2d3e42.000b00f5	user_options->opencl_info	0
TOP.5e2d3e42.000b00f5	user_options->opencl_vector_width	0
TOP.5e2d3e42.000b00f5	user_options->optimized_kernel_enable	1
TOP.5e2d3e42.000b00f5	user_options->outfile_autohex	1
TOP.5e2d3e42.000b00f5	user_options->outfile_check_timer	5
TOP.5e2d3e42.000b00f5	user_options->outfile_format	1
TOP.5e2d3e42.000b00f5	user_options->wordlist_autohex_disable	0
TOP.5e2d3e42.000b00f5	user_options->potfile_disable	1
TOP.5e2d3e42.000b00f5	user_options->progress_only	0
TOP.5e2d3e42.000b00f5	user_options->quiet	0
TOP.5e2d3e42.000b00f5	user_options->remove	0
TOP.5e2d3e42.000b00f5	user_options->remove_timer	60
TOP.5e2d3e42.000b00f5	user_options->restore	0
TOP.5e2d3e42.000b00f5	user_options->restore_disable	0
TOP.5e2d3e42.000b00f5	user_options->restore_timer	60
TOP.5e2d3e42.000b00f5	user_options->rp_files_cnt	0
TOP.5e2d3e42.000b00f5	user_options->rp_gen	1000
TOP.5e2d3e42.000b00f5	user_options->rp_gen_func_max	4
TOP.5e2d3e42.000b00f5	user_options->rp_gen_func_min	1
TOP.5e2d3e42.000b00f5	user_options->rp_gen_seed	0
